id,created_at,username,uri,api,unique_resource_id
1,2022-04-24 12:28:35.160479,explorin_vedant11,/,ACCESSED DASHBOARD,NONE
2,2022-04-24 12:28:40.077085,explorin_vedant11,/situation/14/1/3,ACCESSED SITUATION,TaskMap|193
3,2022-04-24 12:28:40.194294,explorin_vedant11,/task-page/14/1/3,ACCESSED TASK_PAGE,TaskMap|193
4,2022-04-24 12:42:17.585021,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
5,2022-04-24 12:42:25.178965,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
6,2022-04-24 12:53:46.461551,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
7,2022-04-24 12:56:37.985161,someonenew,/,ACCESSED DASHBOARD,NONE
8,2022-04-24 13:27:29.424777,someonenew,/,ACCESSED DASHBOARD,NONE
9,2022-04-24 13:31:45.041737,someonenew,/,ACCESSED DASHBOARD,NONE
10,2022-04-24 13:32:53.779547,someonenew,/,ACCESSED DASHBOARD,NONE
11,2022-04-24 13:51:02.428679,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
12,2022-04-24 13:52:02.725958,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
13,2022-04-24 13:53:02.985844,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
14,2022-04-24 13:54:03.242481,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
15,2022-04-24 13:55:02.533709,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
16,2022-04-24 13:56:03.085880,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
17,2022-04-24 13:57:02.345753,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
18,2022-04-24 13:58:02.609905,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
19,2022-04-24 13:59:02.842368,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
20,2022-04-24 14:00:03.092400,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
21,2022-04-24 14:01:02.990379,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
22,2022-04-24 14:02:03.296994,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
23,2022-04-24 14:03:02.544466,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
24,2022-04-24 14:04:02.800433,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
25,2022-04-24 14:05:03.070822,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
26,2022-04-24 14:06:02.462962,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
27,2022-04-24 14:06:07.492343,anonymous_user,/login,ACCESSED LOGIN_PAGE,NONE
28,2022-04-24 14:06:12.995645,anonymous_user,/login,POSTED_ON LOGIN_PAGE,NONE
29,2022-04-24 14:06:13.328342,ramanbansal112,/,ACCESSED DASHBOARD,NONE
30,2022-04-24 14:06:21.440051,ramanbansal112,/situation/9/1/1,ACCESSED SITUATION,TaskMap|122
31,2022-04-24 14:06:21.672779,ramanbansal112,/task-page/9/1/1,ACCESSED TASK_PAGE,TaskMap|122
32,2022-04-24 14:06:49.695223,ramanbansal112,/api/feedback/122,POSTED FEEDBACK_FOR_GOAL,TaskMap|122
33,2022-04-24 14:06:49.876208,ramanbansal112,/situation/9/1/2,ACCESSED SITUATION,TaskMap|123
34,2022-04-24 14:07:02.730925,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
35,2022-04-24 14:07:04.804119,ramanbansal112,/api/upload_personal_task_questions_report/,POSTED PERSONAL_QUESTIONS_ANSWERS,TaskMap|123
36,2022-04-24 14:07:04.897644,ramanbansal112,/task-page/9/1/2,ACCESSED TASK_PAGE,TaskMap|123
37,2022-04-24 14:07:14.694872,ramanbansal112,/situation/9/1/2,ACCESSED SITUATION,TaskMap|123
38,2022-04-24 14:07:14.976239,ramanbansal112,/task-page/9/1/2,ACCESSED TASK_PAGE,TaskMap|123
39,2022-04-24 14:07:18.023249,ramanbansal112,/situation-preview/9/1/2,ACCESSED SITUATION_PREVIEW,TaskMap|123
40,2022-04-24 14:07:23.485510,ramanbansal112,/,ACCESSED DASHBOARD,NONE
41,2022-04-24 14:07:31.656413,ramanbansal112,/situation/9/1/2,ACCESSED SITUATION,TaskMap|123
42,2022-04-24 14:07:31.902660,ramanbansal112,/task-page/9/1/2,ACCESSED TASK_PAGE,TaskMap|123
43,2022-04-24 14:07:35.583146,ramanbansal112,/task-page/9/1/2,ACCESSED TASK_PAGE,TaskMap|123
44,2022-04-24 14:08:03.109728,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
45,2022-04-24 14:09:02.334215,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
46,2022-04-24 14:10:02.611164,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
47,2022-04-24 14:10:22.348419,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
48,2022-04-24 14:11:02.587894,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
49,2022-04-24 14:12:03.112386,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
50,2022-04-24 14:13:02.367005,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
51,2022-04-24 14:14:02.672485,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
52,2022-04-24 14:14:21.184097,someonenew,/,ACCESSED DASHBOARD,NONE
53,2022-04-24 14:14:59.077544,someonenew,/situation/14/1/1,ACCESSED SITUATION,TaskMap|182
54,2022-04-24 14:14:59.430388,someonenew,/task-page/14/1/1,ACCESSED TASK_PAGE,TaskMap|182
55,2022-04-24 14:15:02.915294,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
56,2022-04-24 14:16:02.799290,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
57,2022-04-24 14:17:03.111226,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
58,2022-04-24 14:18:02.350871,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
59,2022-04-24 14:19:02.624125,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
60,2022-04-24 14:20:02.929771,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
61,2022-04-24 14:21:02.561212,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
62,2022-04-24 14:22:02.811103,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
63,2022-04-24 14:23:03.046608,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
64,2022-04-24 14:24:03.309745,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
65,2022-04-24 14:25:02.550605,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
66,2022-04-24 14:26:02.968582,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
67,2022-04-24 14:27:03.261268,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
68,2022-04-24 14:28:02.512271,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
69,2022-04-24 14:28:48.141813,someonenew,/api/mark_resource_visited/359,POSTED RESOURCE,Resource|359
70,2022-04-24 14:29:02.758055,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
71,2022-04-24 14:30:02.982644,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
72,2022-04-24 14:31:03.284329,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
73,2022-04-24 14:32:02.540482,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
74,2022-04-24 14:33:02.549233,ramanbansal112,/task-page/9/1/2,ACCESSED TASK_PAGE,TaskMap|123
75,2022-04-24 14:33:02.807023,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
76,2022-04-24 14:34:03.039067,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
77,2022-04-24 14:35:03.311555,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
78,2022-04-24 14:36:02.621146,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
79,2022-04-24 14:37:02.906762,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
80,2022-04-24 14:38:03.189608,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
81,2022-04-24 14:39:02.425466,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
82,2022-04-24 14:40:02.718715,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
83,2022-04-24 14:41:02.804289,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
84,2022-04-24 14:42:03.255904,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
85,2022-04-24 14:42:41.827683,someonenew,/api/mark_resource_visited/359,POSTED RESOURCE,Resource|359
86,2022-04-24 14:43:02.527079,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
87,2022-04-24 14:44:02.755446,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
88,2022-04-24 14:45:03.004518,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
89,2022-04-24 14:46:02.791310,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
90,2022-04-24 14:47:03.044315,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
91,2022-04-24 14:48:03.270290,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
92,2022-04-24 14:49:02.508140,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
93,2022-04-24 14:50:02.754100,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
94,2022-04-24 14:51:02.760246,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
95,2022-04-24 14:52:03.022342,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
96,2022-04-24 14:52:38.336898,someonenew,/,ACCESSED DASHBOARD,NONE
97,2022-04-24 14:53:03.241792,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
98,2022-04-24 14:54:02.553228,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
99,2022-04-24 14:55:02.825939,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
100,2022-04-24 14:56:03.104506,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
101,2022-04-24 14:57:02.340739,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
102,2022-04-24 14:58:02.578140,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
103,2022-04-24 14:59:02.875376,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
104,2022-04-24 15:00:03.193988,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
105,2022-04-24 15:01:02.928801,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
106,2022-04-24 15:02:03.148521,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
107,2022-04-24 15:03:02.379824,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
108,2022-04-24 15:04:02.658578,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
109,2022-04-24 15:05:02.907288,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
110,2022-04-24 15:06:02.349693,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
111,2022-04-24 15:07:02.615643,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
112,2022-04-24 15:08:02.864757,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
113,2022-04-24 15:09:03.144321,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
114,2022-04-24 15:10:02.413795,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
115,2022-04-24 15:11:02.457096,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
116,2022-04-24 15:12:02.689548,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
117,2022-04-24 15:13:03.302465,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
118,2022-04-24 15:14:02.771575,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
119,2022-04-24 15:15:03.013527,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
120,2022-04-24 15:16:02.599757,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
121,2022-04-24 15:17:02.890363,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
122,2022-04-24 15:18:03.281635,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
123,2022-04-24 15:19:02.571666,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
124,2022-04-24 15:20:02.827742,anonymous_user,/login?next=/,ACCESSED LOGIN_PAGE,NONE
